date,price
5/27/2014,1275.5
5/28/2014,1263.5
5/29/2014,1255
5/30/2014,1250.5
6/2/2014,1247.3
6/3/2014,1242.8
6/4/2014,1245.3
6/5/2014,1252.5
6/6/2014,1247.5
6/9/2014,1253.5
6/10/2014,1259.5
6/11/2014,1262
6/12/2014,1265.8
6/13/2014,1273
6/16/2014,1276.3
6/17/2014,1267.5
6/18/2014,1269.8
6/19/2014,1293
6/20/2014,1312.5
6/23/2014,1313.5
6/24/2014,1318.5
6/25/2014,1316.8
6/26/2014,1311.8
6/27/2014,1317.5
6/30/2014,1315
7/1/2014,1327.5
7/2/2014,1326.5
7/3/2014,1317.5
7/4/2014,1319.3
